	0
node_attrs.partiallyAliased.value	B
node_attrs.Nextclade_pango.value	B
children.0.node_attrs.partiallyAliased.value	B
children.0.node_attrs.Nextclade_pango.value	B
children.1.node_attrs.partiallyAliased.value	B
children.1.node_attrs.Nextclade_pango.value	B
children.1.children.0.node_attrs.partiallyAliased.value	XA
children.1.children.0.node_attrs.Nextclade_pango.value	XA
children.1.children.1.node_attrs.partiallyAliased.value	XAC
children.1.children.1.node_attrs.Nextclade_pango.value	XAC
children.1.children.2.node_attrs.partiallyAliased.value	XAA
children.1.children.2.node_attrs.Nextclade_pango.value	XAA
children.1.children.3.node_attrs.partiallyAliased.value	XAB
children.1.children.3.node_attrs.Nextclade_pango.value	XAB
children.1.children.4.node_attrs.partiallyAliased.value	XAD
children.1.children.4.node_attrs.Nextclade_pango.value	XAD
children.1.children.5.node_attrs.partiallyAliased.value	XAE
children.1.children.5.node_attrs.Nextclade_pango.value	XAE
children.1.children.6.node_attrs.partiallyAliased.value	XAG
children.1.children.6.node_attrs.Nextclade_pango.value	XAG
children.1.children.7.node_attrs.partiallyAliased.value	XAF
children.1.children.7.node_attrs.Nextclade_pango.value	XAF
children.1.children.8.node_attrs.partiallyAliased.value	XAH
children.1.children.8.node_attrs.Nextclade_pango.value	XAH
children.1.children.9.node_attrs.partiallyAliased.value	XAK
children.1.children.9.node_attrs.Nextclade_pango.value	XAK
children.1.children.10.node_attrs.partiallyAliased.value	XAJ
children.1.children.10.node_attrs.Nextclade_pango.value	XAJ
children.1.children.11.node_attrs.partiallyAliased.value	XAL
children.1.children.11.node_attrs.Nextclade_pango.value	XAL
children.1.children.12.node_attrs.partiallyAliased.value	XAM
children.1.children.12.node_attrs.Nextclade_pango.value	XAM
children.1.children.13.node_attrs.partiallyAliased.value	XAP
children.1.children.13.node_attrs.Nextclade_pango.value	XAP
children.1.children.14.node_attrs.partiallyAliased.value	XAN
children.1.children.14.node_attrs.Nextclade_pango.value	XAN
children.1.children.15.node_attrs.partiallyAliased.value	XAQ
children.1.children.15.node_attrs.Nextclade_pango.value	XAQ
children.1.children.16.node_attrs.partiallyAliased.value	XAR
children.1.children.16.node_attrs.Nextclade_pango.value	XAR
children.1.children.17.node_attrs.partiallyAliased.value	XAT
children.1.children.17.node_attrs.Nextclade_pango.value	XAT
children.1.children.18.node_attrs.partiallyAliased.value	XAU
children.1.children.18.node_attrs.Nextclade_pango.value	XAU
children.1.children.19.node_attrs.partiallyAliased.value	XAS
children.1.children.19.node_attrs.Nextclade_pango.value	XAS
children.1.children.20.node_attrs.partiallyAliased.value	XAV
children.1.children.20.node_attrs.Nextclade_pango.value	XAV
children.1.children.21.node_attrs.partiallyAliased.value	XAW
children.1.children.21.node_attrs.Nextclade_pango.value	XAW
children.1.children.22.node_attrs.partiallyAliased.value	XB
children.1.children.22.node_attrs.Nextclade_pango.value	XB
children.1.children.23.node_attrs.partiallyAliased.value	XAZ
children.1.children.23.node_attrs.Nextclade_pango.value	XAZ
children.1.children.24.node_attrs.partiallyAliased.value	XBA
children.1.children.24.node_attrs.Nextclade_pango.value	XBA
children.1.children.25.node_attrs.partiallyAliased.value	XBD
